"Année","Groupe de produits","Produit","Prix moyen TVA incl."
"2006","Essences","Essence 95 RON E5 (€/L)",1.293
"2006","Essences","Essence 95 RON E10 (€/L)",
"2006","Essences","Essence 98 RON E5 (€/L)",1.306
"2006","Essences","Essence 98 RON E10 (€/L)",
"2006","Gasoil Diesel routier","Diesel B7 (€/L)",1.046
"2006","Gasoil Diesel routier","Diesel B10 (€/L)",
"2006","Gasoil Diesel routier","Diesel B20 (€/L)",
"2006","Gasoil Diesel routier","Diesel B30 (€/L)",
"2006","Gasoil Diesel routier","Diesel XTL (€/L)",
"2006","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.594
"2006","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.617
"2006","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
"2006","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",
"2006","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",
"2006","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.489
"2007","Essences","Essence 95 RON E5 (€/L)",1.385
"2007","Essences","Essence 95 RON E10 (€/L)",
"2007","Essences","Essence 98 RON E5 (€/L)",1.402
"2007","Essences","Essence 98 RON E10 (€/L)",
"2007","Gasoil Diesel routier","Diesel B7 (€/L)",1.094
"2007","Gasoil Diesel routier","Diesel B10 (€/L)",
"2007","Gasoil Diesel routier","Diesel B20 (€/L)",
"2007","Gasoil Diesel routier","Diesel B30 (€/L)",
"2007","Gasoil Diesel routier","Diesel XTL (€/L)",
"2007","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.608
"2007","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.632
"2007","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
"2007","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",
"2007","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",
"2007","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.515
"2008","Essences","Essence 95 RON E5 (€/L)",1.457
"2008","Essences","Essence 95 RON E10 (€/L)",
"2008","Essences","Essence 98 RON E5 (€/L)",1.478
"2008","Essences","Essence 98 RON E10 (€/L)",
"2008","Gasoil Diesel routier","Diesel B7 (€/L)",1.253
"2008","Gasoil Diesel routier","Diesel B10 (€/L)",
"2008","Gasoil Diesel routier","Diesel B20 (€/L)",
"2008","Gasoil Diesel routier","Diesel B30 (€/L)",
"2008","Gasoil Diesel routier","Diesel XTL (€/L)",
"2008","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.781
"2008","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.805
"2008","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
