"Mois/Année","Jour","Groupe de produits","Produit","Prix TVA incl."
"APR25","10APR25","Essences","Essence 95 RON E5 (€/L)",1.622
"APR25","10APR25","Essences","Essence 95 RON E10 (€/L)",1.616
"APR25","10APR25","Essences","Essence 98 RON E5 (€/L)",1.683
"APR25","10APR25","Essences","Essence 98 RON E10 (€/L)",1.688
"APR25","10APR25","Gasoil Diesel routier","Diesel B7 (€/L)",1.704
"APR25","10APR25","Gasoil Diesel routier","Diesel B10 (€/L)",1.703
"APR25","10APR25","Gasoil Diesel routier","Diesel B20 (€/L)",1.724
"APR25","10APR25","Gasoil Diesel routier","Diesel B30 (€/L)",1.788
"APR25","10APR25","Gasoil Diesel routier","Diesel XTL (€/L)",2.531
"APR25","10APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.746
"APR25","10APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.786
"APR25","10APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.723
"APR25","10APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.763
"APR25","10APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.751
"APR25","10APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.791
"APR25","10APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.901
"APR25","10APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.746
"APR25","10APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.786
"APR25","10APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.903
"APR25","10APR25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.897
"APR25","10APR25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.857
"APR25","10APR25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",1.01
"APR25","10APR25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.928
"APR25","10APR25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.889
"APR25","10APR25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",1.041
"APR25","10APR25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.704
"APR25","10APR25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.793
"APR25","10APR25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.756
"APR25","10APR25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.799
"APR25","10APR25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.71
"APR25","10APR25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"APR25","11APR25","Essences","Essence 95 RON E5 (€/L)",1.622
"APR25","11APR25","Essences","Essence 95 RON E10 (€/L)",1.616
"APR25","11APR25","Essences","Essence 98 RON E5 (€/L)",1.683
"APR25","11APR25","Essences","Essence 98 RON E10 (€/L)",1.688
"APR25","11APR25","Gasoil Diesel routier","Diesel B7 (€/L)",1.704
"APR25","11APR25","Gasoil Diesel routier","Diesel B10 (€/L)",1.703
"APR25","11APR25","Gasoil Diesel routier","Diesel B20 (€/L)",1.724
"APR25","11APR25","Gasoil Diesel routier","Diesel B30 (€/L)",1.788
"APR25","11APR25","Gasoil Diesel routier","Diesel XTL (€/L)",2.531
"APR25","11APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.715
"APR25","11APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.754
"APR25","11APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.692
"APR25","11APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.732
"APR25","11APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.72
"APR25","11APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.759
"APR25","11APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.87
"APR25","11APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.715
"APR25","11APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.754
"APR25","11APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.871
"APR25","11APR25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.819
"APR25","11APR25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.779
"APR25","11APR25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",0.932
"APR25","11APR25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.847
"APR25","11APR25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.807
"APR25","11APR25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",0.96
"APR25","11APR25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.704
"APR25","11APR25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.793
"APR25","11APR25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.756
"APR25","11APR25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.799
"APR25","11APR25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.71
"APR25","11APR25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"APR25","12APR25","Essences","Essence 95 RON E5 (€/L)",1.622
"APR25","12APR25","Essences","Essence 95 RON E10 (€/L)",1.616
"APR25","12APR25","Essences","Essence 98 RON E5 (€/L)",1.683
"APR25","12APR25","Essences","Essence 98 RON E10 (€/L)",1.688
"APR25","12APR25","Gasoil Diesel routier","Diesel B7 (€/L)",1.663
"APR25","12APR25","Gasoil Diesel routier","Diesel B10 (€/L)",1.661
"APR25","12APR25","Gasoil Diesel routier","Diesel B20 (€/L)",1.686
"APR25","12APR25","Gasoil Diesel routier","Diesel B30 (€/L)",1.756
"APR25","12APR25","Gasoil Diesel routier","Diesel XTL (€/L)",2.511
"APR25","12APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.73
"APR25","12APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.769
"APR25","12APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.707
"APR25","12APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.747
"APR25","12APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.734
"APR25","12APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.774
"APR25","12APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.884
